brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,Price,rating,Number of Ratings,Number of Reviews
1,1,1,0,4,1,0,1024,2,64,0,0,3,0,0,34649,1,3,0
5,1,1,0,4,1,0,1024,2,64,0,0,3,0,0,38999,2,65,5
5,1,1,0,4,1,0,1024,2,64,0,0,3,0,0,39999,2,8,1
1,1,2,0,8,1,512,0,2,32,2,0,3,0,0,69990,2,0,0
1,1,0,7,4,1,0,512,2,64,0,0,3,0,0,26990,2,0,0
1,1,0,7,4,1,0,512,2,64,0,0,3,0,0,22990,2,0,0
1,1,0,7,4,1,0,512,2,32,0,0,3,0,0,21990,2,31,3
1,1,2,0,8,1,0,1024,2,32,2,0,3,0,0,58799,2,0,0
5,1,2,0,4,1,0,1024,2,32,0,0,3,0,0,49999,2,0,0
7,0,8,0,4,1,0,512,2,32,4,0,3,0,0,59990,3,1946,240
7,0,8,0,4,1,0,512,2,32,6,0,3,0,0,93700,3,259,47
7,0,8,0,4,1,0,512,2,32,4,0,3,0,0,72990,3,425,67
2,1,0,7,4,1,0,512,2,64,0,0,3,0,0,17490,2,1120,196
1,1,0,7,4,1,0,512,2,64,0,0,3,0,0,22990,2,0,0
1,1,1,1,4,1,256,0,2,64,0,0,3,0,0,35990,2,0,0
4,1,1,1,8,1,256,0,2,64,0,0,0,1,0,56490,2,0,0
4,1,2,1,8,1,256,0,2,64,0,0,0,0,0,65390,2,0,0
5,1,0,7,4,1,256,0,2,64,0,2,3,0,0,31999,3,286,19
4,1,0,7,8,1,256,0,2,64,0,2,3,0,0,32490,3,58,6
5,1,0,7,4,1,256,0,2,64,0,2,3,0,0,31799,2,0,0
1,1,0,7,4,1,256,0,2,64,0,0,3,0,0,29890,3,7,0
1,1,0,7,4,1,0,1024,2,64,0,0,0,0,0,23990,2,15279,1947
4,1,1,4,4,1,0,1024,2,64,0,0,3,0,0,32955,3,311,27
4,1,2,4,4,1,0,1024,2,32,2,0,3,0,0,46200,3,47,7
1,1,1,1,4,1,256,0,2,64,0,2,3,0,0,34429,3,37,6
5,1,1,0,8,1,256,0,2,32,0,2,1,0,1,37990,3,2080,235
1,1,1,1,4,1,256,0,2,32,0,0,0,0,1,35990,3,1479,181
1,1,1,0,8,1,256,0,2,64,0,2,3,0,0,33980,3,67,3
4,1,1,1,8,1,256,0,2,64,0,2,0,0,1,39990,3,273,30
3,1,1,0,8,1,256,0,2,64,0,2,0,0,1,39490,3,1267,171
4,1,1,1,8,1,256,0,2,64,0,0,0,1,1,53990,3,14,0
7,1,1,1,8,1,256,0,2,64,0,2,0,0,0,38990,2,0,0
1,1,1,1,8,1,256,0,2,64,0,2,0,0,0,37990,3,284,39
1,1,1,1,8,1,256,0,2,64,0,0,0,0,1,37890,3,44,5
5,1,1,1,8,1,256,0,2,64,0,2,0,0,0,38990,3,33,4
5,1,1,0,8,1,256,0,2,64,0,2,3,0,0,37990,3,286,36
3,1,1,1,8,1,256,0,2,64,0,2,0,0,1,41990,2,10,5
1,1,1,1,8,1,256,0,2,64,0,0,0,0,0,45990,3,816,147
5,1,1,1,8,1,256,0,2,64,0,2,0,0,0,39990,3,543,65
3,1,1,1,8,1,256,0,2,64,0,2,3,0,0,42490,3,9,1
3,1,1,0,4,1,256,0,2,64,0,2,0,0,1,36990,3,1178,137
5,1,1,1,8,1,256,0,2,64,0,0,0,1,1,53990,3,299,41
1,1,1,1,8,1,256,0,2,64,0,2,3,0,0,36990,3,20,1
5,1,1,0,4,1,256,0,2,64,0,0,1,0,0,38940,3,758,64
3,1,1,0,4,1,256,0,2,64,0,0,0,0,1,39490,3,634,64
1,1,1,1,8,1,256,0,2,64,0,0,0,0,0,45990,3,816,147
5,1,1,0,8,1,256,0,2,64,0,0,1,0,1,39999,4,4,0
3,1,1,1,8,1,256,0,2,64,0,2,0,0,0,42990,3,17,2
3,1,1,1,8,1,256,0,2,64,0,0,0,1,0,49990,3,24,5
3,1,1,1,8,1,256,0,2,64,0,2,0,0,1,41490,3,1753,165
3,1,1,1,8,1,256,0,2,64,0,2,3,0,0,41990,3,216,21
5,1,1,1,8,1,256,0,2,64,0,2,0,0,1,41990,3,1084,160
1,1,1,1,8,1,256,0,2,64,0,0,0,0,0,38490,2,19,3
5,1,1,1,4,1,256,0,2,64,0,2,0,0,1,38990,3,106,13
5,1,1,1,4,1,256,0,2,64,0,0,0,0,1,44990,3,42,4
5,1,1,0,4,1,256,0,2,64,0,2,3,0,0,36490,2,0,0
5,1,1,0,8,1,256,0,2,32,0,0,3,0,0,38970,2,0,0
4,1,1,1,4,1,256,0,2,64,0,2,0,0,1,44900,3,1029,107
6,1,1,0,4,1,256,0,2,64,0,2,3,0,0,38990,3,53,11
3,1,1,1,4,1,256,0,2,64,0,2,3,0,0,44427,2,0,0
